iter	Passed	Remaining
0	130	130862
1	131	65751
2	133	44393
3	135	33712
4	136	27254
5	138	22960
6	140	19878
7	141	17537
8	142	15733
9	144	14293
10	145	13116
11	147	12176
12	150	11406
13	151	10691
14	152	10013
15	153	9445
16	154	8947
17	156	8538
18	158	8158
19	159	7820
20	161	7520
21	163	7248
22	164	7005
23	166	6758
24	167	6519
25	168	6296
26	169	6106
27	170	5922
28	171	5737
29	172	5564
30	172	5405
31	173	5253
32	174	5104
33	174	4969
34	175	4851
35	176	4730
36	177	4620
37	178	4523
38	180	4441
39	181	4353
40	182	4262
41	183	4174
42	183	4084
43	184	4001
44	184	3920
45	185	3841
46	185	3769
47	186	3698
48	187	3630
49	187	3567
50	188	3504
51	188	3444
52	189	3386
53	190	3332
54	190	3279
55	191	3228
56	192	3177
57	192	3130
58	193	3087
59	194	3044
60	195	3003
61	195	2964
62	196	2927
63	197	2889
64	198	2852
65	198	2815
66	199	2780
67	200	2745
68	200	2710
69	201	2676
70	202	2643
71	202	2610
72	203	2580
73	203	2549
74	204	2519
75	204	2491
76	205	2462
77	206	2435
78	206	2408
79	207	2381
80	207	2355
81	208	2334
82	209	2309
83	210	2291
84	210	2269
85	211	2247
86	212	2224
87	212	2203
88	213	2182
89	213	2161
90	214	2141
91	214	2121
92	215	2102
93	216	2083
94	216	2064
95	217	2046
96	218	2029
97	218	2012
98	219	1994
99	219	1978
100	220	1962
101	220	1945
102	221	1929
103	222	1914
104	222	1899
105	223	1887
106	224	1875
107	225	1861
108	225	1847
109	226	1833
110	227	1819
111	227	1806
112	228	1792
113	228	1778
114	229	1765
115	230	1752
116	230	1739
117	231	1727
118	231	1715
119	232	1703
120	232	1691
121	233	1679
122	233	1667
123	234	1656
124	235	1645
125	235	1635
126	236	1624
127	236	1613
128	237	1603
129	238	1592
130	238	1583
131	239	1576
132	240	1568
133	241	1559
134	241	1549
135	242	1540
136	243	1530
137	243	1521
138	244	1513
139	244	1503
140	245	1494
141	245	1484
142	246	1475
143	246	1467
144	247	1458
145	247	1450
146	248	1442
147	249	1434
148	249	1426
149	250	1418
150	250	1410
151	251	1402
152	251	1394
153	252	1387
154	253	1379
155	253	1373
156	254	1368
157	255	1362
158	256	1355
159	256	1348
160	257	1340
161	257	1333
162	258	1326
163	258	1319
164	259	1312
165	260	1306
166	260	1300
167	261	1295
168	262	1289
169	262	1283
170	263	1277
171	264	1272
172	264	1266
173	265	1261
174	266	1255
175	266	1249
176	267	1243
177	268	1237
178	268	1232
179	269	1228
180	270	1225
181	271	1220
182	272	1215
183	272	1209
184	273	1204
185	274	1199
186	274	1193
187	275	1188
188	275	1183
189	276	1178
190	276	1172
191	277	1168
192	278	1163
193	278	1157
194	279	1153
195	279	1148
196	280	1143
197	281	1138
198	281	1133
199	282	1128
200	282	1123
201	283	1119
202	284	1115
203	284	1111
204	286	1109
205	286	1105
206	287	1102
207	288	1097
208	289	1094
209	289	1090
210	290	1086
211	291	1081
212	291	1077
213	292	1073
214	292	1069
215	293	1065
216	294	1060
217	294	1056
218	295	1052
219	295	1048
220	296	1044
221	296	1040
222	297	1036
223	298	1032
224	298	1028
225	299	1024
226	299	1021
227	300	1018
228	301	1015
229	302	1011
230	302	1008
231	303	1004
232	304	1000
233	304	997
234	305	993
235	305	989
236	306	986
237	306	982
238	307	978
239	308	975
240	308	972
241	309	968
242	309	965
243	310	961
244	311	958
245	311	955
246	312	952
247	312	948
248	313	945
249	314	942
250	314	938
251	315	936
252	316	934
253	317	931
254	318	929
255	318	926
256	319	923
257	320	920
258	320	917
259	321	914
260	322	911
261	322	908
262	323	905
263	323	902
264	324	899
265	324	896
266	325	893
267	326	890
268	326	887
269	327	885
270	327	882
271	328	879
272	329	876
273	329	873
274	330	870
275	331	869
276	332	867
277	332	864
278	333	861
279	334	858
280	334	856
281	335	853
282	335	850
283	336	847
284	336	844
285	337	842
286	337	839
287	338	836
288	339	834
289	339	831
290	340	828
291	340	826
292	341	823
293	342	821
294	342	818
295	343	816
296	343	813
297	344	811
298	345	808
299	345	806
300	346	804
301	347	802
302	347	800
303	348	797
304	349	795
305	349	792
306	350	790
307	350	787
308	351	785
309	351	782
310	352	780
311	352	778
312	353	775
313	353	773
314	354	770
315	355	768
316	355	766
317	356	763
318	356	761
319	357	759
320	357	756
321	358	754
322	358	752
323	359	749
324	360	747
325	360	745
326	361	743
327	362	741
328	362	740
329	363	737
330	364	735
331	364	733
332	365	731
333	365	729
334	366	727
335	367	725
336	367	723
337	368	721
338	368	719
339	369	717
340	370	715
341	370	713
342	371	711
343	371	709
344	372	707
345	373	705
346	373	703
347	374	701
348	375	699
349	375	697
350	376	696
351	377	695
352	378	693
353	379	691
354	379	690
355	380	688
356	381	686
357	382	685
358	382	683
359	383	681
360	384	679
361	384	677
362	385	676
363	385	674
364	386	672
365	387	670
366	387	668
367	388	666
368	389	665
369	389	663
370	390	661
371	391	660
372	392	659
373	393	658
374	393	656
375	394	654
376	395	652
377	395	651
378	396	649
379	396	647
380	397	645
381	398	643
382	398	642
383	399	640
384	399	638
385	400	637
386	401	635
387	401	633
388	402	631
389	402	630
390	403	628
391	404	626
392	404	624
393	405	623
394	405	621
395	406	620
396	407	618
397	408	617
398	409	616
399	409	614
400	410	613
401	410	611
402	411	609
403	412	608
404	412	606
405	413	604
406	413	602
407	414	601
408	414	599
409	415	597
410	415	596
411	416	594
412	417	592
413	417	591
414	418	589
415	418	587
416	419	586
417	419	584
418	420	582
419	420	581
420	421	579
421	422	578
422	423	577
423	424	576
424	424	574
425	425	572
426	425	571
427	426	569
428	426	568
429	427	566
430	427	565
431	428	563
432	429	561
433	429	560
434	430	558
435	430	557
436	431	555
437	431	554
438	432	552
439	432	550
440	433	549
441	433	547
442	434	546
443	435	544
444	435	543
445	436	541
446	436	540
447	438	539
448	438	538
449	439	537
450	440	535
451	440	534
452	441	533
453	442	531
454	442	530
455	443	528
456	444	527
457	444	526
458	445	525
459	446	523
460	446	522
461	447	520
462	447	519
463	448	517
464	448	516
465	449	515
466	450	513
467	450	512
468	451	510
469	451	509
470	452	508
471	453	507
472	454	506
473	455	505
474	456	504
475	457	503
476	457	501
477	458	500
478	458	499
479	459	497
480	460	496
481	460	494
482	461	493
483	461	492
484	462	490
485	462	489
486	463	488
487	463	486
488	464	485
489	465	484
490	465	482
491	466	481
492	467	480
493	468	479
494	469	478
495	470	477
496	471	476
497	471	475
498	472	474
499	473	473
500	473	471
501	474	470
502	474	469
503	475	467
504	475	466
505	476	465
506	477	463
507	477	462
508	478	461
509	478	459
510	479	458
511	479	457
512	480	456
513	481	455
514	481	453
515	482	452
516	483	451
517	484	450
518	485	449
519	486	448
520	486	447
521	487	446
522	488	445
523	489	444
524	489	443
525	490	441
526	490	440
527	491	439
528	492	438
529	492	437
530	493	436
531	494	434
532	494	433
533	495	432
534	495	431
535	496	429
536	497	428
537	497	427
538	498	426
539	499	425
540	501	425
541	502	424
542	503	423
543	504	422
544	504	421
545	505	420
546	505	418
547	506	417
548	506	416
549	507	415
550	508	413
551	508	412
552	509	411
553	509	410
554	510	409
555	510	408
556	511	406
557	512	405
558	512	404
559	513	403
560	514	402
561	515	401
562	517	401
563	518	400
564	519	399
565	520	398
566	521	397
567	521	396
568	522	395
569	523	394
570	523	393
571	524	392
572	525	391
573	525	390
574	526	389
575	526	387
576	527	386
577	528	385
578	529	384
579	530	383
580	530	382
581	531	381
582	532	380
583	532	379
584	533	378
585	534	377
586	534	376
587	535	375
588	536	374
589	536	373
590	537	371
591	538	370
592	538	369
593	539	368
594	539	367
595	540	366
596	541	365
597	541	364
598	542	363
599	542	361
600	543	360
601	544	360
602	545	359
603	546	358
604	547	357
605	547	356
606	548	355
607	548	353
608	549	352
609	550	351
610	550	350
611	551	349
612	551	348
613	552	347
614	552	346
615	553	345
616	554	343
617	554	342
618	555	341
619	555	340
620	556	339
621	556	338
622	557	337
623	559	336
624	560	336
625	561	335
626	561	334
627	562	333
628	563	332
629	563	331
630	564	330
631	565	329
632	565	328
633	566	327
634	567	326
635	567	324
636	568	323
637	568	322
638	569	321
639	570	320
640	571	320
641	572	319
642	573	318
643	574	317
644	574	316
645	575	315
646	576	314
647	576	313
648	577	312
649	577	311
650	578	310
651	579	309
652	579	308
653	580	306
654	580	305
655	581	304
656	582	303
657	582	302
658	583	301
659	583	300
660	584	299
661	585	298
662	586	298
663	587	297
664	588	296
665	589	295
666	590	294
667	590	293
668	591	292
669	591	291
670	592	290
671	593	289
672	593	288
673	594	287
674	594	286
675	595	285
676	596	284
677	596	283
678	597	282
679	597	281
680	598	280
681	599	279
682	599	278
683	601	277
684	602	276
685	602	275
686	603	274
687	604	273
688	604	273
689	605	272
690	606	271
691	606	270
692	607	269
693	608	268
694	609	267
695	609	266
696	610	265
697	611	264
698	611	263
699	612	262
700	612	261
701	613	260
702	614	259
703	614	258
704	615	257
705	616	256
706	617	256
707	619	255
708	620	254
709	620	253
710	621	252
711	621	251
712	622	250
713	623	249
714	623	248
715	624	247
716	624	246
717	625	245
718	626	244
719	626	243
720	627	242
721	627	241
722	628	240
723	629	239
724	629	238
725	630	237
726	631	237
727	632	236
728	633	235
729	634	234
730	634	233
731	635	232
732	635	231
733	636	230
734	637	229
735	637	228
736	638	227
737	638	226
738	639	225
739	640	224
740	640	223
741	641	222
742	641	221
743	642	220
744	642	220
745	643	219
746	644	218
747	644	217
748	645	216
749	646	215
750	646	214
751	647	213
752	648	212
753	648	211
754	649	210
755	650	209
756	650	208
757	651	207
758	651	206
759	652	205
760	652	205
761	653	204
762	654	203
763	654	202
764	655	201
765	655	200
766	656	199
767	656	198
768	657	197
769	658	196
770	659	195
771	659	194
772	660	193
773	661	193
774	662	192
775	662	191
776	663	190
777	664	189
778	664	188
779	665	187
780	666	186
781	667	186
782	668	185
783	669	184
784	669	183
785	670	182
786	671	181
787	672	180
788	672	179
789	673	179
790	674	178
791	675	177
792	676	176
793	677	175
794	678	174
795	679	174
796	680	173
797	681	172
798	681	171
799	682	170
800	683	169
801	683	168
802	684	167
803	685	167
804	685	166
